Data,Ente,gg,mezzo,Km_auto,Km_mezzi,Km_bici,Km_piedi,alimentazione,NOX,NOXT,PM10,PM10T,CO2,CO2T
2020/06/05 9:19:03 AM EET,Lomb,54.0,Auto/Moto/Scooter/Ciclomotore,13.0,0.0,0.0,0.0,Benzina,0.0048814999999999996,0.00026360099999999997,0.0004186,2.26044e-05,2.1724443,0.1173119922
2020/06/05 9:19:09 AM EET,Lomb,46.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:19:11 AM EET,Mol,22.0,Auto/Moto/Scooter/Ciclomotore,3.0,0.0,0.0,0.0,Diesel,0.0011265000000000001,2.4783000000000003e-05,9.659999999999999e-05,2.1252e-06,0.5013333,0.0110293326
2020/06/05 9:19:12 AM EET,Lomb,18.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:19:12 AM EET,ISPRA,62.0,Auto/Moto/Scooter/Ciclomotore,140.0,0.0,0.0,20.0,Diesel,0.05257,0.0047313,0.004508,0.00040572,23.395554,2.1055998600000003
2020/06/05 9:19:27 AM EET,EMR,20.0,Mezzi pubblici (autobus/tram/treno...),0.0,7.0,0.0,0.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,0.0006003200000000001,1.2006400000000002e-05,2.0901999999999997e-05,4.1803999999999995e-07,0.102230898,0.00204461796
2020/06/05 9:19:41 AM EET,EMR,24.0,Auto/Moto/Scooter/Ciclomotore,62.0,0.0,2.0,0.0,Benzina,0.023281,0.000558744,0.0019963999999999997,4.7913599999999995e-05,10.3608882,0.2486613168
2020/06/05 9:19:42 AM EET,Lomb,48.0,A piedi,0.0,0.0,0.0,2.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:19:56 AM EET,Ven,6.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:20:01 AM EET,Ven,40.0,Scooter o bicicletta o autobus,14.0,12.0,14.0,2.0,Benzina,,,,,,
